"SATCO PRODUCTS - NUVO LIGHTING - PRICE FILE AS OF NOVEMBER 3, 2025",,,,,,,,,
ALL ITEMS QUOTED ARE SUBJECT TO A PRICE CHANGE SHOULD IMPORT TARIFFS INCREASE.,,,,,,,,,
ITEM,DESCRIPTION,INN PK,CASE PK,EA $,CASE$,MOQ,Each UPC Code,IMAP$,ITEM-EDI SKU
62-2284,Sedona; 22 Inch LED Flush Mount; Matte Black; Silk Screened Acrylic Lens,,1,$145.00,$145.00,,045923622724,$361.99,62/2284
62-2301,Crew; 32 Watt; 15 Inch LED Outdoor Sconce; Sand Black Finish,,1,$126.00,$126.00,,045923400889,$314.99,62/2301
62-2302,Crew; 40 Watt; 19 Inch LED Outdoor Sconce; Sand Black Finish,,1,$136.00,$136.00,,045923400896,$339.99,62/2302
62-2310,Colt; 10 Watt; LED Small Outdoor Lantern; Matte Black Finish,,1,$89.00,$89.00,,045923400834,$221.99,62/2310
62-2311,Colt; 10 Watt; LED Medium Outdoor Lantern; Matte Black Finish,,1,$114.00,$114.00,,045923400841,$284.99,62/2311
62-2312,Colt; 10 Watt; LED Large Outdoor Lantern; Matte Black Finish,,1,$136.00,$136.00,,045923400858,$339.99,62/2312
62-2313,Colt; 10 Watt; LED Outdoor Post Lantern; Matte Black Finish,,1,$136.00,$136.00,,045923400865,$339.99,62/2313
62-2314,Colt; 10 Watt; LED Hanging Pendant; Matte Black Finish,,1,$136.00,$136.00,,045923400872,$339.99,62/2314
62-2320,Hazel; 1 Foot LED Picture Light; 3 CCT Selectable; Black Finish; Acrylic Lens,,4,$89.00,$89.00,,045923407215,$221.99,62/2320
62-2321,Hazel; 1 Foot LED Picture Light; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,4,$94.00,$94.00,,045923407222,$234.99,62/2321
62-2322,Hazel; 1 Foot LED Picture Light; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,4,$94.00,$94.00,,045923407239,$234.99,62/2322
62-2325,Hazel; 2 Foot LED Picture Light; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$99.00,$99.00,,045923407246,$246.99,62/2325
62-2326,Hazel; 2 Foot LED Picture Light; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$114.00,$114.00,,045923407253,$284.99,62/2326
62-2327,Hazel; 2 Foot LED Picture Light; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$114.00,$114.00,,045923407260,$284.99,62/2327
62-2330,Hazel; 3 Foot LED Picture Light; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$126.00,$126.00,,045923407277,$314.99,62/2330
62-2331,Hazel; 3 Foot LED Picture Light; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$145.00,$145.00,,045923407284,$361.99,62/2331
62-2332,Hazel; 3 Foot LED Picture Light; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$145.00,$145.00,,045923407291,$361.99,62/2332
62-2335,Mila; 1 Foot LED Picture Light; 3 CCT Selectable; Black Finish; Acrylic L ens,,4,$75.00,$75.00,,045923407727,$186.99,62/2335
62-2336,Mila; 1 Foot LED Picture Light; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,4,$84.00,$84.00,,045923407734,$209.99,62/2336
62-2337,Mila; 1 Foot LED Picture Light; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,4,$84.00,$84.00,,045923407741,$209.99,62/2337
62-2340,Mila; 2 Foot LED Picture Light; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$94.00,$94.00,,045923407758,$234.99,62/2340
62-2341,Mila; 2 Foot LED Picture Light; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$105.00,$105.00,,045923407765,$261.99,62/2341
62-2342,Mila; 2 Foot LED Picture Light; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$105.00,$105.00,,045923407772,$261.99,62/2342
62-2345,Mila; 3 Foot LED Picture Light; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$114.00,$114.00,,045923407789,$284.99,62/2345
62-2346,Mila; 3 Foot LED Picture Light; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$126.00,$126.00,,045923407796,$314.99,62/2346
62-2347,Mila; 3 Foot LED Picture Light; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$126.00,$126.00,,045923407802,$314.99,62/2347
62-2350,Auden; 18 Inch LED Vanity; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$105.00,$105.00,,045923406843,$261.99,62/2350
62-2351,Auden; 18 Inch LED Vanity; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$116.00,$116.00,,045923406850,$289.99,62/2351
62-2352,Auden; 18 Inch LED Vanity; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$116.00,$116.00,,045923406867,$289.99,62/2352
62-2355,Auden; 24 Inch LED Vanity; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$121.00,$121.00,,045923406874,$301.99,62/2355
62-2356,Auden; 24 Inch LED Vanity; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$131.00,$131.00,,045923406881,$326.99,62/2356
62-2357,Auden; 24 Inch LED Vanity; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$131.00,$131.00,,045923406898,$326.99,62/2357
62-2360,Auden; 36 Inch LED Vanity; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$136.00,$136.00,,045923406904,$339.99,62/2360
62-2361,Auden; 36 Inch LED Vanity; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$167.00,$167.00,,045923406911,$416.99,62/2361
62-2362,Auden; 36 Inch LED Vanity; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$167.00,$167.00,,045923406928,$416.99,62/2362
62-2365,Cora; 18 Inch LED Vanity; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$116.00,$116.00,,045923406935,$289.99,62/2365
62-2366,Cora; 18 Inch LED Vanity; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$131.00,$131.00,,045923406942,$326.99,62/2366
62-2367,Cora; 18 Inch LED Vanity; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$131.00,$131.00,,045923406959,$326.99,62/2367
62-2370,Cora; 24 Inch LED Vanity; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$131.00,$131.00,,045923406966,$326.99,62/2370
62-2371,Cora; 24 Inch LED Vanity; 3 CCT Selectable; Brushed Nickel; Acrylic Lens,,1,$155.00,$155.00,,045923406973,$386.99,62/2371
62-2372,Cora; 24 Inch LED Vanity; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$155.00,$155.00,,045923406980,$386.99,62/2372
62-2375,Cora; 36 Inch LED Vanity; 3 CCT Selectable; Black Finish; Acrylic Lens,,1,$155.00,$155.00,,045923406997,$386.99,62/2375
62-2376,Cora; 36 Inch LED Vanity; 3 CCT Selectable; Brushed Nickel Finish; Acrylic Lens,,1,$189.00,$189.00,,045923407000,$471.99,62/2376
62-2377,Cora; 36 Inch LED Vanity; 3 CCT Selectable; Vintage Brass Finish; Acrylic Lens,,1,$189.00,$189.00,,045923407017,$471.99,62/2377
62-2380,Larissa; 14 Inch LED Vanity; 3000K CCT; Black Finish; Opaque Glass,,4,$84.00,$84.00,,045923407437,$209.99,62/2380
62-2381,Larissa; 14 Inch LED Vanity; 3000K CCT; Brushed Nickel Finish; Opaque Glass,,4,$89.00,$89.00,,045923407444,$221.99,62/2381
62-2382,Larissa; 14 Inch LED Vanity; 3000K CCT; Vintage Brass Finish; Opaque Glass,,4,$89.00,$89.00,,045923407451,$221.99,62/2382
62-2385,Larissa; 24 Inch LED Vanity; 3000K CCT; Black Finish; Opaque Glass,,1,$114.00,$114.00,,045923407468,$284.99,62/2385
62-2386,Larissa; 24 Inch LED Vanity; 3000K CCT; Brushed Nickel Finish; Opaque Glass,,1,$124.00,$124.00,,045923407475,$309.99,62/2386
62-2387,Larissa; 24 Inch LED Vanity; 3000K CCT; Vintage Brass Finish; Opaque Glass,,1,$124.00,$124.00,,045923407482,$309.99,62/2387
62-2390,Larissa; 32 Inch LED Vanity; 3000K CCT; Black Finish; Opaque Glass,,1,$152.00,$152.00,,045923407499,$379.99,62/2390
62-2391,Larissa; 32 Inch LED Vanity; 3000K CCT; Brushed Nickel Finish; Opaque Glass,,1,$165.00,$165.00,,045923407505,$411.99,62/2391
62-2392,Larissa; 32 Inch LED Vanity; 3000K CCT; Vintage Brass Finish; Opaque Glass,,1,$165.00,$165.00,,045923407512,$411.99,62/2392
62-2401,Kenzo; LED 5 Light Flush Mount; Vintage Brass Finish; Light Guide Panel,,1,$254.00,$254.00,,045923407352,$634.99,62/2401
62-2402,Kenzo; LED 6 Light Flush Mount; Vintage Brass Finish; Light Guide Panel,,1,$294.00,$294.00,,045923407369,$734.99,62/2402
62-2403,Kenzo; LED 6 Light Chandelier; Polished Anodized Bronze Finish; Light Guide Panel,,1,$317.00,$317.00,,045923407376,$791.99,62/2403
62-2404,Kenzo; LED 12 Light Chandelier; Polished Anodized Bronze Finish; Light Guide Panel,,1,$629.00,$629.00,,045923407383,"$1,571.99",62/2404
62-2405,Kenzo; LED 6 Light Island Pendant; Polished Anodized Bronze Finish; Light Guide Panel,,1,$317.00,$317.00,,045923407390,$791.99,62/2405
62-2406,Kenzo; LED 2 Light Mini Pendant; Polished Anodized Bronze Finish; Light Guide Panel,,1,$96.00,$96.00,,045923407406,$239.99,62/2406
62-2407,Kenzo; LED 1 Light Wall Sconce; Vintage Brass Finish; Light Guide Panel,,1,$68.00,$68.00,,045923407413,$169.99,62/2407
62-2408,Kenzo; LED 3 Light Vanity; Vintage Brass Finish; Light Guide Panel,,1,$176.00,$176.00,,045923407420,$439.99,62/2408
62-2411,Idris; LED Island Pendant; Vintage Brass Finish; Light Guide Panels,,1,$369.00,$369.00,,045923407307,$921.99,62/2411
62-2412,Idris; LED 4 Light Pendant; Vintage Brass Finish; Light Guide Panels,,1,$379.00,$379.00,,045923407314,$946.99,62/2412
62-2413,Idris; LED 3 Light Pendant; Vintage Brass Finish; Light Guide Panels,,1,$315.00,$315.00,,045923407321,$786.99,62/2413
62-2414,Idris; LED 1 Light Wall Sconce; Vintage Brass Finish; Light Guide Panels,,1,$145.00,$145.00,,045923407338,$361.99,62/2414
62-2415,Idris; LED 3 Light Wall Sconce; Vintage Brass Finish; Light Guide Panels,,1,$199.00,$199.00,,045923407345,$496.99,62/2415
62-2421,Sylas; 36 Inch LED Pendant; Matte Black Finish,,1,$474.00,$474.00,,045923407857,"$1,184.99",62/2421
62-2422,Sylas; 48 Inch LED Pendant; Matte Black Finish,,1,$369.00,$369.00,,045923407871,$921.99,62/2422
62-2431,Sylas; 36 Inch LED Pendant; Polished Nickel Finish,,1,$529.00,$529.00,,045923407864,"$1,321.99",62/2431
62-2432,Sylas; 48 Inch LED Pendant; Polished Nickel Finish,,1,$427.00,$427.00,,045923407888,"$1,066.99",62/2432
62-2441,Asher; LED 15 Inch Pendant; Polished Nickel Finish; K9 Crystal,,1,$234.00,$234.00,,045923406812,$584.99,62/2441
62-2442,Asher; LED 36 Inch Round Pendant; Polished Nickel Finish; K9 Crystal,,1,$474.00,$474.00,,045923406829,"$1,184.99",62/2442
62-2443,Asher; LED 36 Inch Oval Pendant; Polished Nickel Finish; K9 Crystal,,1,$391.00,$391.00,,045923406836,$976.99,62/2443
62-2444,Nova; LED 23 Inch Round Flush Mount; Polished Nickel Finish; K9 Crystal,,1,$287.00,$287.00,,045923407819,$716.99,62/2444
62-2445,Nova; LED 16 Inch Mini Pendant; Polished Nickel Finish; K9 Crystal,,1,$89.00,$89.00,,045923407826,$221.99,62/2445
62-2446,Nova; LED 23 Inch Round Pendant; Polished Nickel Finish; K9 Crystal,,1,$267.00,$267.00,,045923407833,$666.99,62/2446
62-2447,Nova; LED 36 Inch Round Pendant; Polished Nickel Finish; K9 Crystal,,1,$415.00,$415.00,,045923407840,"$1,036.99",62/2447
62-2451,Evander; LED 16 Inch Mini Pendant; Matte Black Finish; Smoked Glass,,4,$89.00,$89.00,,045923407024,$221.99,62/2451
62-2452,Evander; LED 48 Inch Island Pendant; Matte Black Finish; Smoked Glass,,1,$219.00,$219.00,,045923407031,$546.99,62/2452
62-2453,Evander; LED Wall Sconce; Matte Black Finish; Smoked Glass,,4,$79.00,$79.00,,045923407048,$196.99,62/2453
62-2520,Velano; 16 Inch LED Vanity; Brushed Brass Finish,,6,$68.00,$68.00,,045923408748,$169.99,62/2520
62-2521,Velano; 24 Inch LED Vanity; Brushed Brass Finish,,6,$84.00,$84.00,,045923408762,$209.99,62/2521
62-2522,Velano; 36 Inch LED Vanity; Brushed Brass Finish,,6,$104.00,$104.00,,045923408786,$259.99,62/2522
62-2530,Velano; 16 Inch LED Vanity; Brushed Nickel Finish,,6,$66.00,$66.00,,045923408755,$164.99,62/2530
62-2531,Velano; 24 Inch LED Vanity; Brushed Nickel Finish,,6,$80.00,$80.00,,045923408779,$199.99,62/2531
62-2532,Velano; 36 Inch LED Vanity; Brushed Nickel Finish,,6,$101.00,$101.00,,045923408793,$251.99,62/2532
62-2620,Brightwyn; 16 Inch LED Vanity; Matte Black Finish,,6,$45.00,$45.00,,045923408809,$111.99,62/2620
62-2621,Brightwyn; 24 Inch LED Vanity; Matte Black Finish,,6,$52.00,$52.00,,045923408830,$129.99,62/2621
62-2622,Brightwyn; 35 Inch LED Vanity; Matte Black Finish,,6,$64.00,$64.00,,045923408861,$159.99,62/2622
62-2630,Brightwyn; 16 Inch LED Vanity; Brushed Brass Finish,,6,$49.00,$49.00,,045923408816,$121.99,62/2630
62-2631,Brightwyn; 24 Inch LED Vanity; Brushed Brass Finish,,6,$56.00,$56.00,,045923408847,$139.99,62/2631
62-2632,Brightwyn; 35 Inch LED Vanity; Brushed Brass Finish,,6,$69.00,$69.00,,045923408878,$171.99,62/2632
62-2640,Brightwyn; 16 Inch LED Vanity; Brushed Nickel Finish,,6,$47.00,$47.00,,045923408823,$116.99,62/2640
62-2641,Brightwyn; 24 Inch LED Vanity; Brushed Nickel Finish,,6,$54.00,$54.00,,045923408854,$134.99,62/2641
62-2642,Brightwyn; 35 Inch LED Vanity; Brushed Nickel Finish,,6,$67.00,$67.00,,045923408885,$166.99,62/2642
62-2932,Link; 1 Light; LED Tube Pendant with White Glass; Brushed Nickel Finish,,8,$80.00,$79.00,,045923679322,$196.99,62/2932
62-2934,Link; 1 Light; LED Tube Wall Sconce with White Glass; Brushed Nickel Finish,,12,$72.00,$71.00,,045923679346,$176.99,62/2934
62-2936,Link; 2 Light; (Vertical) LED Tube Wall Sconce with White Glass; Brushed Nickel Finish,,8,$95.00,$94.00,,045923679360,$234.99,62/2936
62-3001,Bandon; 20 Inch LED Pendant; Gray with Blue Wrap; Acrylic Lens,,1,$224.00,$224.00,,045923622731,$559.99,62/3001
62-3002,Bandon; 20 Inch LED Flush Mount; Gray with Blue Wrap; Acrylic Lens,,1,$189.00,$189.00,,045923622748,$471.99,62/3002
62-3011,Bandon; 20 Inch LED Pendant; Gray with Red Wrap; Acrylic Lens,,1,$221.00,$221.00,,045923622755,$551.99,62/3011
62-3012,Bandon; 20 Inch LED Flush Mount; Gray with Red Wrap; Acrylic Lens,,1,$189.00,$189.00,,045923622762,$471.99,62/3012
62-3021,Bandon; 20 Inch LED Pendant; Gray with Off White Wrap; Acrylic Lens,,1,$224.00,$224.00,,045923622779,$559.99,62/3021
62-3022,Bandon; 20 Inch LED Flush Mount; Gray with Off White Wrap; Acrylic Lens,,1,$189.00,$189.00,,045923622786,$471.99,62/3022
62-5901,6 Watt LED Landscape Floodlight; RGB and 2700K-5000K Tunable White; Bronze Finish,,12,$29.95,$29.95,,045923623615,$59.95,62/5901
62-5902,9 Watt LED Landscape Floodlight; RGB and 2700K-5000K Tunable White; PAR20; Bronze Finish,,12,$32.00,$32.00,,045923623622,$64.95,62/5902
62-5903,12 Watt LED Landscape Floodlight; RGB and 2700K-5000K Tunable White; PAR30; Bronze Finish,,12,$45.00,$45.00,,045923623639,$90.95,62/5903
62-5944,East River Collection; 1 Light Outdoor Hanging Fixture; LED; SMART - Starfish RGBTW; CCT Selectable; Matte Black; Clear Water Glass,,4,$104.00,$104.00,,045923659447,$259.99,62/5944
62-5945,East River Collection; 1 Light Outdoor Small Wall Fixture; LED; SMART - Starfish RGBTW; CCT Selectable; Matte Black; Clear Water Glass,,4,$69.00,$69.00,,045923659454,$171.99,62/5945
62-5996,Austen Collection; 1 Light Outdoor Hanging Fixture; LED; SMART - Starfish RGBTW; CCT Selectable; Matte Black; Clear Water Glass,,4,$104.00,$104.00,,045923659966,$259.99,62/5996
62-5997,Austen Collection; 1 Light Outdoor Small Wall Fixture; LED; SMART - Starfish RGBTW; CCT Selectable; Matte Black; Clear Water Glass,,4,$80.00,$80.00,,045923659973,$199.99,62/5997
62-6001,Lacey; 2 Inch LED Mini Pendant; RGB/TW; Starfish Enabled; Matte Black with K9 Bubble Crystal,,8,$82.00,$82.00,,045923622793,$204.99,62/6001
62-6002,Lacey; 4 Inch LED Pendant; RGB/TW; Starfish Enabled; Matte Black with K9 Bubble Crystal,,8,$97.00,$97.00,,045923622809,$241.99,62/6002
62-6003,Lacey; 23 Inch LED Island Pendant; RGB/TW; Starfish Enabled; Matte Black with K9 Bubble Crystal,,4,$114.00,$114.00,,045923622816,$284.99,62/6003
63-401,2 Watt 6-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; White Finish; 120 Volt,,6,$8.45,$8.45,,045923630361,$16.99,63/401
63-402,4 Watt 10-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; White Finish 120 Volt,,6,$10.75,$10.75,,045923630378,$21.99,63/402
63-403,8 Watt 21-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; White Finish; 120 Volt,,6,$13.25,$13.25,,045923630385,$26.99,63/403
63-404,10 Watt 30-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; White Finish; 120 Volt,,6,$15.95,$15.95,,045923630392,$31.99,63/404
63-411,8-Foot Power Cord; Line Switch; White Finish,,48,$6.45,$6.45,,045923630408,$12.99,63/411
63-412,Junction Box with Switch; White Finish,,12,$11.75,$11.75,,045923630415,$23.99,63/412
63-413,Direct Connector; End-to-End; White Finish; 2-Pk,,48,$3.15,$3.15,,045923630422,$6.99,63/413
63-414,End-to-End Coupler; White Finish,,48,$2.65,$2.65,,045923630439,$5.99,63/414
63-415,L-Connector; Right Angle; White Finish,,48,$3.75,$3.75,,045923630446,$7.99,63/415
63-416,L-Connector; Left Angle; White Finish,,48,$3.75,$3.75,,045923630453,$7.99,63/416
63-417,Cable Splitter; Single to Double; White Finish,,48,$3.75,$3.75,,045923630460,$7.99,63/417
63-418,Connecting Cable; 3-Inch; White Finish,,48,$1.55,$1.55,,045923630477,$3.99,63/418
63-419,Connecting Cable; 6-Inch; White Finish,,48,$1.70,$1.70,,045923630484,$3.99,63/419
63-420,Connecting Cable; 12-Inch; White Finish,,48,$1.95,$1.95,,045923630491,$3.99,63/420
63-421,Connecting Cable; 18-Inch; White Finish,,48,$2.10,$2.10,,045923630866,$4.99,63/421
63-422,Connecting Cable; 24-Inch; White Finish,,48,$2.95,$2.95,,045923630873,$5.99,63/422
63-431,CounterQuick Slim; Flat Clip; 2-Pack,,48,$1.35,$1.35,,045923631788,No IMAP,63/431
63-432,CounterQuick Slim; Angle Clip; 2-Pack,,48,$1.35,$1.35,,045923631795,No IMAP,63/432
63-451,2 Watt 6-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Black Finish; 120 Volt,,6,$8.45,$8.45,,045923630880,$16.99,63/451
63-452,4 Watt 10-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Black Finish 120 Volt,,6,$10.75,$10.75,,045923630897,$21.99,63/452
63-453,8 Watt 21-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Black Finish; 120 Volt,,6,$13.25,$13.25,,045923630903,$26.99,63/453
63-454,10 Watt 30-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Black Finish; 120 Volt,,6,$15.95,$15.95,,045923630996,$31.99,63/454
63-461,8-Foot Power Cord; Line Switch; Black Finish,,48,$6.45,$6.45,,045923631009,$12.99,63/461
63-462,Junction Box with Switch; Black Finish,,12,$11.75,$11.75,,045923631108,$23.99,63/462
63-463,Direct Connector; End-to-End; Black Finish; 2-Pk,,48,$3.15,$3.15,,045923631160,$6.99,63/463
63-464,End-to-End Coupler; Black Finish,,48,$2.65,$2.65,,045923631177,$5.99,63/464
63-465,L-Connector; Right Angle; Black Finish,,48,$3.75,$3.75,,045923631184,$7.99,63/465
63-466,L-Connector; Left Angle; Black Finish,,48,$3.75,$3.75,,045923631191,$7.99,63/466
63-467,Cable Splitter; Single to Double; Black Finish,,48,$3.75,$3.75,,045923631207,$7.99,63/467
63-468,Connecting Cable; 3-Inch; Black Finish,,48,$1.55,$1.55,,045923631382,$3.99,63/468
63-469,Connecting Cable; 6-Inch; Black Finish,,48,$1.70,$1.70,,045923631399,$3.99,63/469
63-470,Connecting Cable; 12-Inch; Black Finish,,48,$1.95,$1.95,,045923631405,$3.99,63/470
63-471,Connecting Cable; 18-Inch; Black Finish,,48,$2.10,$2.10,,045923631504,$4.99,63/471
63-472,Connecting Cable; 24-Inch; Black Finish,,48,$2.95,$2.95,,045923631702,$5.99,63/472
63-500,5 Watt; 8 Inch LED White Under Cabinet Light; CCT Selectable; 50000 Hours,,24,$23.50,$23.50,,045923635007,$47.99,63/500
63-501,6.5 Watt; 11 Inch LED White Under Cabinet Light; CCT Selectable; 50000 Hours,,12,$26.50,$26.50,,045923656477,$53.99,63/501
63-502,9 Watt; 14 Inch LED White Under Cabinet Light; CCT Selectable; 50000 Hours,,12,$29.50,$29.50,,045923656484,$59.99,63/502
63-503,13 Watt; 22 Inch LED White Under Cabinet Light; CCT Selectable; 50000 Hours,,6,$34.00,$34.00,,045923656491,$67.99,63/503
63-504,17 Watt; 28 Inch LED White Under Cabinet Light; CCT Selectable; 50000 Hours,,6,$42.00,$42.00,,045923656576,$83.99,63/504
63-505,20 Watt; 34 Inch LED White Under Cabinet Light; CCT Selectable,,12,$47.00,$47.00,,045923635052,$93.99,63/505
63-510,Under Cabinet LED Power Cord Supply,,100,$3.75,$3.75,,045923635106,No IMAP,63/510
63-511,Under Cabinet LED End to End Connector,,1000,$1.30,$1.30,,045923635113,No IMAP,63/511
63-512,Under Cabinet LED 3/8 Inch Wire Connector,,300,$1.95,$1.95,,045923635120,No IMAP,63/512
63-513,"Under Cabinet LED Junction Box, Plastic",,100,$6.25,$6.25,,045923635137,No IMAP,63/513
63-514,"Under Cabinet LED Junction Box, Metal",,100,$6.25,$6.25,,045923635144,No IMAP,63/514
63-515,6 Inch Under Cabinet Linkable Cable,,96,$3.15,$3.15,,045923635151,No IMAP,63/515
63-516,12 Inch Under Cabinet Linkable Cable,,96,$4.50,$4.50,,045923656583,No IMAP,63/516
63-517,24 Inch Under Cabinet Linkable Cable,,200,$5.75,$5.75,,045923635175,No IMAP,63/517
63-518,Under Cabinet LED Linkable Cable Extender,,1000,$1.90,$1.90,,045923635182,No IMAP,63/518
63-520,5 Watt 8-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Dark Bronze; 120 Volt,,12,$25.50,$25.50,,045923635205,$51.99,63/520
63-521,6.5 Watt 11-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Dark Bronze; 120 Volt,,12,$29.95,$29.95,,045923635212,$59.99,63/521
63-522,9 Watt 14-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Dark Bronze; 120 Volt,,12,$35.00,$35.00,,045923635229,$69.99,63/522
63-523,13 Watt 22-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Dark Bronze; 120 Volt,,12,$40.00,$40.00,,045923635236,$79.99,63/523
63-524,17 Watt 28-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Dark Bronze; 120 Volt,,12,$47.00,$47.00,,045923635243,$93.99,63/524
63-525,20 Watt 34-Inch LED Under Cabinet; 30K/40K/50K CCT Selectable; Dark Bronze; 120 Volt,,12,$51.00,$51.00,,045923635250,$101.99,63/525
63-530,Under Cabinet Power Cord; Black Finish,,96,$3.75,$3.75,,045923635304,No IMAP,63/530
63-531,Under Cabinet Junction Box; Plastic; Dark Bronze,,48,$6.45,$6.45,,045923635311,No IMAP,63/531
63-532,Under Cabinet Junction Box; Metal; Dark Bronze,,48,$6.45,$6.45,,045923635328,No IMAP,63/532
63-533,Under Cabinet Link Cable; 6-Inch; Black Finish,,96,$3.15,$3.15,,045923635335,No IMAP,63/533
63-534,Under Cabinet Link Cable; 12-Inch; Black Finish,,96,$4.50,$4.50,,045923635342,No IMAP,63/534
63-535,Under Cabinet Link Cable; 24-Inch; Black FInish,,96,$5.75,$5.75,,045923635359,No IMAP,63/535
63-536,Under Cabinet Connectable Link; Black Finish,,96,$1.90,$1.90,,045923635366,No IMAP,63/536
63-551,11 Inch; LED; SMART - Starfish; RGB and Tunable White; Under Cabinet Light; White Finish,,12,$37.00,$37.00,,045923635519,$74.95,63/551
63-552,14 Inch; LED; SMART - Starfish; RGB and Tunable White; Under Cabinet Light; White Finish,,12,$42.00,$42.00,,045923635526,$84.95,63/552
63-553,22 Inch; LED; SMART - Starfish; RGB and Tunable White; Under Cabinet Light; White Finish,,12,$48.00,$48.00,,045923635533,$96.95,63/553
63-554,28 Inch; LED; SMART - Starfish; RGB and Tunable White; Under Cabinet Light; White Finish,,12,$55.00,$55.00,,045923635540,$110.95,63/554
63-555,34 Inch; LED; SMART - Starfish; RGB and Tunable White; Under Cabinet Light; White Finish,,12,$62.00,$62.00,,045923635557,$124.95,63/555
63-700,10W LED Under Cabinet Light Bar; 18 inches in length; 3000K; 860 Lumens; 120V,,12,$16.50,$16.50,,045923637001,$33.99,63/700
63-701,13.5W LED Under Cabinet Light Bar; 24 inches in length; 3000K; 1050 Lumens; 120V,,12,$19.50,$19.50,,045923637018,$39.99,63/701
64-100,Dimension Color; Tape light strip; 16 ft.; RGB; Plug connection,,12,$21.25,$21.25,,045923640247,$37.95,64/100
64-110,Dimension Performer; Tape light strip; 16 ft.; RGB plus Tunable White; Plug connection; IR Remote Included,,12,$32.00,$32.00,,045923640254,$56.95,64/110
64-111,Dimension Performer; Tape light strip; 16 ft.; RGB plus Tunable White; J-Box connection; IR Remote Included,,8,$62.00,$62.00,,045923640261,$108.95,64/111
64-120,Dimension Plus; Tape light strip; 16 ft.; RGB plus Tunable White; Plug connection; Starfish IOT Capable; IR Remote Included,,12,$42.00,$42.00,,045923640278,$84.95,64/120
64-121,Dimension Plus; Tape light strip; 16 ft.; RGB plus Tunable White; J-Box connection; Starfish IOT Capable; IR Remote Included,,8,$79.00,$79.00,,045923640285,$158.95,64/121
64-130,Dimension Pro; Tape light strip; 16 ft.; Hi-Output; RGB plus Tunable White; Plug connection; Starfish IOT Capable; IR Remote Included,,12,$50.00,$50.00,,045923640292,$100.95,64/130
64-131,Dimension Pro; Tape light strip; 32 ft.; Hi-Output; RGB plus Tunable White; Plug connection; Starfish IOT Capable; IR Remote Included,,8,$79.00,$79.00,,045923640308,$158.95,64/131
64-132,Dimension Pro; Tape light strip; 64 ft.; Hi-Output; RGB plus Tunable White; Plug connection; Starfish IOT Capable; IR Remote Included,,4,$137.00,$137.00,,045923640520,$274.95,64/132
64-133,Dimension Pro; Tape light strip; 16 ft.; Hi-Output; RGB plus Tunable White; J-Box connection; Starfish IOT Capable; IR Remote Included,,8,$84.00,$84.00,,045923640537,$168.95,64/133
