<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-red-and-putty-small-hounds-tooth-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-red-and-putty-small-hounds-tooth-cotton-pulley-cord,,active,W182CPPRSHMNS,NON UL by the 100-foot spool,,3,40.00,17.46,$52.38,19.84466619,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-red-and-putty-small-hounds-tooth-cotton-pulley-cord,,active,W182CPPRSHS,By the 100-foot spool,,4,80.00,17.46,$69.84,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-putty-cotton-pulley-cord,TRUE,active,W182CPPTXXF,By the foot,,2475,0.90,0.16,$396.00,19.84466619,2-CONDUCTOR 18-GAUGE PUTTY COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, historically accurate, no pattern, pulley cord, putty wire, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord with SVT-2 wire, which is three conductors with a jacket, then covered in putty <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-putty-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-putty-cotton-pulley-cord,,active,W182CPPTXXS,By the 100-foot spool,,23,80.00,17.46,$401.58,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-raspberry-cotton-pulley-cord,TRUE,active,W182CPRBXXF,By the foot,,580,0.90,0.16,$92.80,19.84466619,2-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, no pattern, pink wire, pulley cord, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-2 wire, which is two conductors with a PVC jacket, covered in raspberry <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-raspberry-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span>.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-raspberry-cotton-pulley-cord,,active,W182CPRBXXMNS,NON UL by the 100-foot spool,,17,40.00,17.46,$296.82,19.84466619,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-raspberry-cotton-pulley-cord,,active,W182CPRBXXS,By the 100-foot spool,,6,80.00,17.46,$104.76,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-red-cotton-pulley-cord,TRUE,active,W182CPRDXXF,By the foot,,1100,0.90,0.16,$176.00,19.84466619,2-CONDUCTOR 18-GAUGE RED COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, no pattern, pulley cord, red wire, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-2 wire, which is two conductors with a PVC jacket, covered in red <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-red-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-red-cotton-pulley-cord,,active,W182CPRDXXS,By the 100-foot spool,,8,80.00,17.46,$139.68,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-red-and-white-zig-zag-cotton-pulley-cord,TRUE,active,W182CPRWZZF,By the foot,,400,0.90,0.16,$64.00,19.84466619,2-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, pulley cord, red wire, white wire, wire, zig-zag","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-2 wire, which is two conductors with a PVC jacket, covered in red and white zig-zag pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>.</p>
UL-listed, SVT-B.
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-red-and-white-zig-zag-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-red-and-white-zig-zag-cotton-pulley-cord,,active,W182CPRWZZMNS,NON UL by the 100-foot spool,,35,40.00,17.46,$611.10,19.84466619,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-red-and-white-zig-zag-cotton-pulley-cord,,active,W182CPRWZZS,By the 100-foot spool,,4,80.00,17.46,$69.84,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-slate-blue-cotton-pulley-cord,TRUE,active,W182CPSBXXF,By the foot,,390,0.90,0.16,$62.40,19.84466619,2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, blue wire, cotton, no pattern, pulley cord, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord with SVT-2 wire, which is two conductors with a PVC jacket, then covered in slate blue <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-slate-blue-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter (+/- 0.5 mm):</strong> 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL-Listed:</strong> SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-slate-blue-cotton-pulley-cord,,active,W182CPSBXXMNS,NON UL by the 100-foot spool,,18,40.00,17.46,$314.28,19.84466619,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-slate-blue-cotton-pulley-cord,,active,W182CPSBXXS,By the 100-foot spool,,3,80.00,17.46,$52.38,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-slate-blue-and-white-large-hounds-tooth-cotton-pulley-cord,TRUE,active,W182CPSWLHF,By the foot,,400,0.90,0.16,$64.00,19.84466619,2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, blue wire, cotton, large hound's-tooth, pulley cord, white wire, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord with SVT-2 wire, which is two conductors with a PVC jacket, then covered in slate blue and white large hound's-tooth pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-slate-blue-and-white-large-hounds-tooth-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-slate-blue-and-white-large-hounds-tooth-cotton-pulley-cord,,active,W182CPSWLHMNS,NON UL by the 100-foot spool,,38,40.00,17.46,$663.48,19.84466619,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-slate-blue-and-white-large-hounds-tooth-cotton-pulley-cord,,active,W182CPSWLHS,By the 100-foot spool,,4,80.00,17.46,$69.84,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-slate-blue-and-white-small-hounds-tooth-cotton-pulley-cord,TRUE,active,W182CPSWSHF,By the foot,,684,0.90,0.16,$109.44,19.84466619,2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, blue wire, cotton, pulley cord, small hound's-tooth, white wire, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord with SVT-2 wire, which is two conductors with a PVC jacket, then covered in slate blue and white small hound's-tooth pattern <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-slate-blue-and-white-small-hounds-tooth-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-slate-blue-and-white-small-hounds-tooth-cotton-pulley-cord,,active,W182CPSWSHMNS,NON UL by the 100-foot spool,,18,40.00,17.46,$314.28,19.84466619,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-slate-blue-and-white-small-hounds-tooth-cotton-pulley-cord,,active,W182CPSWSHS,By the 100-foot spool,,7,80.00,17.46,$122.22,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-turquoise-cotton-pulley-cord,TRUE,active,W182CPTQXXF,By the foot,,800,0.90,0.16,$128.00,19.84466619,2-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, blue wire, cotton, no pattern, pulley cord, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord, with SVT-2 wire, which is two conductors with a PVC jacket, covered in turquoise <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-turquoise-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p><strong>Approximate Diameter (+/- 0.5 mm):</strong> 7 mm, about 9/32 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 300 Volts, 105 degrees Centigrade<br><strong>UL:</strong> UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-turquoise-cotton-pulley-cord,,active,W182CPTQXXMNS,NON UL by the 100-foot spool,,6,40.00,17.46,$104.76,19.84466619,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-turquoise-cotton-pulley-cord,,active,W182CPTQXXS,By the 100-foot spool,,8,80.00,17.46,$139.68,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-white-cotton-pulley-cord,TRUE,active,W182CPWHXXF,By the foot,,1120,0.90,0.16,$179.20,19.84466619,2-CONDUCTOR 18-GAUGE WHITE COTTON PULLEY CORD - UL-Listed,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, no pattern, pulley cord, white wire, wire","<div id=""product-detail"">
"
<p>This is a <span class=""glossary-conductor glossary-conductor-name"">2-conductor</span>, <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> cord in the <span class=""glossary-pulley-cord glossary-pulley-cord-name"">pulley cord</span> style. This wire is a round cord with SVT-2 wire, which is two conductors with a jacket, then covered in white <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. UL-listed, SVT-B.</p>
<p>This product is the wire only. Any other lamp parts shown are not included.</p>
<h2>Conductors</h2>
<p>If you would prefer to have this same wire with 3 instead of 2 conductors, please see the <a href=""/products/3-conductor-18-gauge-white-cotton-pulley-cord"">3-conductor version</a>.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and is suited to many applications, include wiring fans and small, non-heat-generating appliances.</p>
<p><b>IMPORTANT:</b><span> PLEASE NOTE IT IS </span><b>NOT</b><span> HEATER CORD. IT IS SVT-2 CORD WITH A BRAID AND SHOULD BE USED ONLY WHERE THAT CORD CONSTRUCTION IS APPROPRIATE.</span></p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2>Attributes</h2>
<p>Approximate Diameter (+/- 0.5 mm): 7 mm, about 9/32 in<br>Made in: USA<br>Maximums: 300 Volts, 105 degrees Centigrade<br>UL: UL Listed, SVT-B</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-white-cotton-pulley-cord,,active,W182CPWHXXS,By the 100-foot spool,,12,80.00,17.46,$209.52,2267.96185,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-and-gray-zig-zag-cotton-twisted-wire,TRUE,active,W182CTBGZZF,By the foot,,9,1.50,0.15,$1.35,14.17476156,2-CONDUCTOR 18-GAUGE BLACK & GRAY ZIG-ZAG COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, black wire, cotton, gray wire, twisted pair, wire, zig-zag","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a black and gray zig-zag<span class=""glossary-braid glossary-braid-name""> cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-black-and-gray-zig-zag-cotton-twisted-wire,,active,W182CTBGZZL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-and-gray-zig-zag-cotton-twisted-wire,,active,W182CTBGZZS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-cotton-twisted-wire,TRUE,active,W182CTBKXXF,By the foot,,0,1.50,0.15,$0.00,14.17476156,2-CONDUCTOR 18-GAUGE BLACK COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, black wire, cotton, historically accurate, no pattern, twisted pair, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a black <span class=""glossary-braid glossary-braid-name"">cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p>Approximate Diameter (+/- 0.5 mm): 6.4 mm, about 1/4 in<br>Made in: USA<br>Maximums: 600 Volts, 105 degrees Centigrade<br>UL: NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-black-cotton-twisted-wire,,active,W182CTBKXXL,By the 50-foot spool,,0,45.00,8.75,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-cotton-twisted-wire,,active,W182CTBKXXS,By the 250-foot spool,,0,175.00,39.77,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-light-brown-cotton-twisted-wire,TRUE,active,W182CTBNXXF,By the foot,,9,1.50,0.15,$1.35,14.17476156,2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, brown wire, cotton, historically accurate, no pattern, twisted pair, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a light brown <span class=""glossary-braid glossary-braid-name"">cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Notes on the Color</h2>
<p>Our light brown wire is a lovely cocoa-powder/brick brown and would look great in any setting.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-light-brown-cotton-twisted-wire,,active,W182CTBNXXL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
